ID,Key,English,German
1,HomePage.PopularMeasures,Popular Measures,Beliebte Maßnahmen
2,HomePage.Login,Login,Anmelden
3,HomePage.SignUp,Sign up,Registrieren
4,HomePage.MyMeasures,My Measures,Meine Maßnahmen
5,HomePage.Loading,Loading...,Laden...
6,Search.Placeholder,Select a location...,Wählen Sie einen Standort aus...
7,Search.FindSubsidies,Find subsidies in your area,Finden Sie Subventionen in Ihrer Gegend
8,Search.EnterPostcodeState,Enter your postcode or state,Geben Sie Ihre Postleitzahl oder Ihr Bundesland ein
9,Search.NoneFound,No location found,Kein Standort gefunden
10,Navbar.Label.Browse,Browse,Durchsuchen
11,Navbar.Label.MyAccount,My Account,Mein Konto
12,Navbar.Label.NotificationSettings,Notification Settings,Benachrichtigungseinstellungen
13,Navbar.Label.AdminPortal,Admin Portal,Admin-Portal
14,Navbar.Label.Logout,Logout,Abmelden
15,Navbar.Label.NoRole,No role,Keine Rolle
16,Navbar.Buttons.BackToSearch,Back to search results,Zurück zu den Suchergebnissen
17,Navbar.Buttons.Share,Share,Teilen
18,Navbar.Buttons.Copied,Copied!,Kopiert!
19,Navbar.Buttons.Copy,Copy,Kopieren
20,Measure.TableHeader.ID,ID,ID
21,Measure.TableHeader.MeasureIdentifier,Measure Identifier,Maßnahmenkennung
22,Measure.TableHeader.Title,Title,Titel
23,Measure.TableHeader.Actions,Actions,Aktionen
24,Measure.TableHeader.IsPublished,Is Published,Veröffentlicht
25,Measure.Button.Archive,Archive,Archivieren
26,Measure.Button.AddSurcharge,Add surcharge,Zuschlag hinzufügen
27,Measure.Button.AddedToShortlist,Added to shortlist,Zur Merkliste hinzugefügt
28,Measure.Button.AddToShortlist,Add to shortlist,Zur Merkliste hinzufügen
29,Measure.Button.AddTo,Add to...,Hinzufügen zu...
30,Measure.Button.Copy,Copy,Kopieren
31,Measure.Button.SetDevValues,Set Dev Values,Entwicklungswerte festlegen
32,Measure.Button.SaveDraft,Save draft,Entwurf speichern
33,Measure.Button.Cancel,Cancel,Abbrechen
34,Measure.Button.Publish,Publish,Veröffentlichen
35,Measure.Button.CopyIdToClipBoard,Copy ID to clipboard,ID in die Zwischenablage kopieren
36,Measure.Button.Remove,Remove,Entfernen
37,Measure.Button.AddCondition,Add condition,Bedingung hinzufügen
38,Measure.Button.AddRestriction,Add restriction,Einschränkung hinzufügen
39,Measure.Button.AddBenefit,Add benefit,Vorteil hinzufügen
40,Measure.Button.AddKeyDate,Add key date,Wichtiges Datum hinzufügen
41,Measure.Button.AddCombination,Add combination,Kombination hinzufügen
42,Measure.Button.AddApplicationStep,Add application step,Bewerbungsschritt hinzufügen
43,Measure.Button.OpenMenu,Open menu,Menü öffnen
44,Measure.Button.Edit,Edit,Bearbeiten
45,Measure.Button.Delete,Delete,Löschen
46,Measure.Button.Create,Create,Erstellen
47,Measure.Label.Type,Type,Kategorie
48,Measure.Label.By,By,Von
49,Measure.Label.From,From,Von
50,Measure.Label.Any,Any,Beliebig
51,Measure.Label.Conventional,Conventional,Konventionell
52,Measure.Label.Organic,Organic,Biologisch
53,Measure.Label.DueBy,Due by,Fällig bis
54,Measure.Label.Hectare,ha,ha
55,Measure.Label.MoveToActive,Move to active,Zu aktiv verschieben
56,Measure.Label.ImplementationStart,Implementation start,Umsetzungsbeginn
57,Measure.Label.Active,Active,Aktiv
58,Measure.Label.Complete,complete,Abgeschlossen
59,Measure.Label.CreateNewMeasure,Create new measure,Neue Maßnahme erstellen
60,Measure.Label.MeasureIdentifier,Measure identifier,Maßnahmenkennung
61,Measure.Label.MeasureTitleLong,Measure Title: Long *,Maßnahmentitel: Lang *
62,Measure.Label.MeasureTitleLongDescription,A descriptive title for this measure. This will display on the Measure detail page.,Ein beschreibender Titel für diese Maßnahme. Dieser wird auf der Maßnahmendetailseite angezeigt.
63,Measure.Label.MeasureTitleShort,Measure Title: Short *,Maßnahmentitel: Kurz *
64,Measure.Label.MeasureTitleShortDescription,A short title for this measure. This will display on the Measure card.,Ein kurzer Titel für diese Maßnahme. Dieser wird auf der Maßnahmenkarte angezeigt.
65,Measure.Label.ProgramTitle,Program Title *,Programmtitel *
66,Measure.Label.ProgramTitleDescription,Title of the Program the Measure is associated to.,"Titel des Programms, dem die Maßnahme zugeordnet ist."
67,Measure.Label.PublicationDate,Publication Date *,Veröffentlichungsdatum *
